{'loss': '11.97', 'grad_norm': '0.3921', 'learning_rate': '1.997e-05', 'epoch': '0.003239'}
{'loss': '7.466', 'grad_norm': '0.5302', 'learning_rate': '1.885e-05', 'epoch': '0.1166'}
{'loss': '7.408', 'grad_norm': '0.711', 'learning_rate': '1.881e-05', 'epoch': '0.1198'}
{'loss': '7.529', 'grad_norm': '0.6173', 'learning_rate': '1.878e-05', 'epoch': '0.1231'}
{'loss': '7.489', 'grad_norm': '0.4145', 'learning_rate': '1.875e-05', 'epoch': '0.1263'}
{'loss': '7.475', 'grad_norm': '0.393', 'learning_rate': '1.872e-05', 'epoch': '0.1295'}
{'loss': '7.489', 'grad_norm': '0.4794', 'learning_rate': '1.869e-05', 'epoch': '0.1328'}
{'loss': '7.442', 'grad_norm': '0.5393', 'learning_rate': '1.865e-05', 'epoch': '0.136'}
{'loss': '7.471', 'grad_norm': '0.4855', 'learning_rate': '1.862e-05', 'epoch': '0.1393'}
{'loss': '7.525', 'grad_norm': '0.4993', 'learning_rate': '1.859e-05', 'epoch': '0.1425'}
{'loss': '7.494', 'grad_norm': '0.5189', 'learning_rate': '1.856e-05', 'epoch': '0.1457'}
{'loss': '7.48', 'grad_norm': '0.4823', 'learning_rate': '1.852e-05', 'epoch': '0.149'}
{'loss': '7.452', 'grad_norm': '0.4189', 'learning_rate': '1.849e-05', 'epoch': '0.1522'}
{'loss': '7.32', 'grad_norm': '0.4587', 'learning_rate': '1.846e-05', 'epoch': '0.1555'}
{'loss': '7.355', 'grad_norm': '0.5381', 'learning_rate': '1.843e-05', 'epoch': '0.1587'}
{'loss': '7.392', 'grad_norm': '0.4828', 'learning_rate': '1.839e-05', 'epoch': '0.1619'}
{'loss': '7.322', 'grad_norm': '0.4131', 'learning_rate': '1.836e-05', 'epoch': '0.1652'}
{'loss': '7.424', 'grad_norm': '0.4172', 'learning_rate': '1.833e-05', 'epoch': '0.1684'}
{'loss': '7.336', 'grad_norm': '0.4665', 'learning_rate': '1.83e-05', 'epoch': '0.1717'}
{'loss': '7.464', 'grad_norm': '0.4356', 'learning_rate': '1.827e-05', 'epoch': '0.1749'}
{'loss': '7.347', 'grad_norm': '0.5041', 'learning_rate': '1.824e-05', 'epoch': '0.1781'}
{'loss': '7.423', 'grad_norm': '0.6125', 'learning_rate': '1.82e-05', 'epoch': '0.1814'}
{'loss': '7.324', 'grad_norm': '0.6031', 'learning_rate': '1.817e-05', 'epoch': '0.1846'}
{'loss': '7.33', 'grad_norm': '0.5019', 'learning_rate': '1.814e-05', 'epoch': '0.1878'}
{'loss': '7.387', 'grad_norm': '0.6787', 'learning_rate': '1.811e-05', 'epoch': '0.1911'}
{'loss': '7.399', 'grad_norm': '0.489', 'learning_rate': '1.807e-05', 'epoch': '0.1943'}
{'loss': '7.41', 'grad_norm': '0.4584', 'learning_rate': '1.804e-05', 'epoch': '0.1976'}
{'loss': '7.153', 'grad_norm': '0.6671', 'learning_rate': '1.801e-05', 'epoch': '0.2008'}
{'loss': '7.235', 'grad_norm': '0.7442', 'learning_rate': '1.798e-05', 'epoch': '0.204'}
{'loss': '7.372', 'grad_norm': '0.5176', 'learning_rate': '1.794e-05', 'epoch': '0.2073'}
{'loss': '7.311', 'grad_norm': '0.623', 'learning_rate': '1.791e-05', 'epoch': '0.2105'}
{'loss': '7.366', 'grad_norm': '0.7628', 'learning_rate': '1.788e-05', 'epoch': '0.2138'}
{'loss': '7.345', 'grad_norm': '0.6192', 'learning_rate': '1.785e-05', 'epoch': '0.217'}
{'loss': '7.364', 'grad_norm': '1.07', 'learning_rate': '1.781e-05', 'epoch': '0.2202'}
{'loss': '7.259', 'grad_norm': '0.8824', 'learning_rate': '1.778e-05', 'epoch': '0.2235'}
{'loss': '7.402', 'grad_norm': '2.379', 'learning_rate': '1.775e-05', 'epoch': '0.2267'}
{'loss': '7.338', 'grad_norm': '1.473', 'learning_rate': '1.772e-05', 'epoch': '0.23'}
{'loss': '7.424', 'grad_norm': '0.6761', 'learning_rate': '1.769e-05', 'epoch': '0.2332'}
{'loss': '7.384', 'grad_norm': '0.7214', 'learning_rate': '1.766e-05', 'epoch': '0.2364'}
{'loss': '7.477', 'grad_norm': '5.853', 'learning_rate': '1.763e-05', 'epoch': '0.2397'}
{'loss': '7.475', 'grad_norm': 'nan', 'learning_rate': '1.761e-05', 'epoch': '0.2429'}
{'loss': '7.529', 'grad_norm': '400', 'learning_rate': '1.758e-05', 'epoch': '0.2461'}
{'loss': '7.666', 'grad_norm': '0.9519', 'learning_rate': '1.757e-05', 'epoch': '0.2494'}
{'loss': '7.729', 'grad_norm': '0.7222', 'learning_rate': '1.754e-05', 'epoch': '0.2526'}
{'loss': '7.573', 'grad_norm': '0.6828', 'learning_rate': '1.75e-05', 'epoch': '0.2559'}
{'loss': '7.566', 'grad_norm': '0.63', 'learning_rate': '1.747e-05', 'epoch': '0.2591'}
{'loss': '7.687', 'grad_norm': '0.6066', 'learning_rate': '1.744e-05', 'epoch': '0.2623'}
{'loss': '7.48', 'grad_norm': '0.7177', 'learning_rate': '1.741e-05', 'epoch': '0.2656'}
{'loss': '7.527', 'grad_norm': '0.5803', 'learning_rate': '1.737e-05', 'epoch': '0.2688'}
{'loss': '7.626', 'grad_norm': '0.7464', 'learning_rate': '1.734e-05', 'epoch': '0.2721'}
{'loss': '7.52', 'grad_norm': '0.6996', 'learning_rate': '1.731e-05', 'epoch': '0.2753'}
{'loss': '7.453', 'grad_norm': '0.7597', 'learning_rate': '1.728e-05', 'epoch': '0.2785'}
{'loss': '7.568', 'grad_norm': '0.7272', 'learning_rate': '1.724e-05', 'epoch': '0.2818'}
{'loss': '7.451', 'grad_norm': '0.8646', 'learning_rate': '1.721e-05', 'epoch': '0.285'}
{'loss': '7.519', 'grad_norm': '0.6306', 'learning_rate': '1.718e-05', 'epoch': '0.2882'}
{'loss': '7.496', 'grad_norm': '0.608', 'learning_rate': '1.715e-05', 'epoch': '0.2915'}
{'loss': '7.551', 'grad_norm': '0.6454', 'learning_rate': '1.711e-05', 'epoch': '0.2947'}
{'loss': '7.514', 'grad_norm': '0.6345', 'learning_rate': '1.708e-05', 'epoch': '0.298'}
{'loss': '7.531', 'grad_norm': '0.7582', 'learning_rate': '1.705e-05', 'epoch': '0.3012'}
{'loss': '7.45', 'grad_norm': '0.5592', 'learning_rate': '1.702e-05', 'epoch': '0.3044'}
{'loss': '7.588', 'grad_norm': '0.6382', 'learning_rate': '1.699e-05', 'epoch': '0.3077'}
{'loss': '7.396', 'grad_norm': '0.7327', 'learning_rate': '1.695e-05', 'epoch': '0.3109'}
{'loss': '7.471', 'grad_norm': '0.7226', 'learning_rate': '1.692e-05', 'epoch': '0.3142'}
{'loss': '7.452', 'grad_norm': '0.8163', 'learning_rate': '1.689e-05', 'epoch': '0.3174'}
{'loss': '7.517', 'grad_norm': '0.7408', 'learning_rate': '1.686e-05', 'epoch': '0.3206'}
{'loss': '7.514', 'grad_norm': '0.6311', 'learning_rate': '1.682e-05', 'epoch': '0.3239'}
{'loss': '7.411', 'grad_norm': '0.7075', 'learning_rate': '1.679e-05', 'epoch': '0.3271'}
{'loss': '7.423', 'grad_norm': '0.6296', 'learning_rate': '1.676e-05', 'epoch': '0.3304'}
{'loss': '7.522', 'grad_norm': '0.628', 'learning_rate': '1.673e-05', 'epoch': '0.3336'}
{'loss': '7.541', 'grad_norm': '0.6998', 'learning_rate': '1.669e-05', 'epoch': '0.3368'}
{'loss': '7.584', 'grad_norm': '0.659', 'learning_rate': '1.666e-05', 'epoch': '0.3401'}
{'loss': '7.489', 'grad_norm': '0.6384', 'learning_rate': '1.663e-05', 'epoch': '0.3433'}
{'loss': '7.653', 'grad_norm': '0.5894', 'learning_rate': '1.66e-05', 'epoch': '0.3465'}
{'loss': '7.668', 'grad_norm': '0.6123', 'learning_rate': '1.656e-05', 'epoch': '0.3498'}
{'loss': '7.544', 'grad_norm': '0.554', 'learning_rate': '1.653e-05', 'epoch': '0.353'}
{'loss': '7.427', 'grad_norm': '0.652', 'learning_rate': '1.65e-05', 'epoch': '0.3563'}
{'loss': '7.512', 'grad_norm': '0.661', 'learning_rate': '1.647e-05', 'epoch': '0.3595'}
{'loss': '7.432', 'grad_norm': '0.5619', 'learning_rate': '1.643e-05', 'epoch': '0.3627'}
{'loss': '7.466', 'grad_norm': '0.6786', 'learning_rate': '1.64e-05', 'epoch': '0.366'}
{'loss': '7.481', 'grad_norm': '0.6346', 'learning_rate': '1.637e-05', 'epoch': '0.3692'}
{'loss': '7.472', 'grad_norm': '0.6914', 'learning_rate': '1.634e-05', 'epoch': '0.3725'}
{'loss': '7.628', 'grad_norm': '0.5711', 'learning_rate': '1.631e-05', 'epoch': '0.3757'}
{'loss': '7.663', 'grad_norm': '0.6401', 'learning_rate': '1.627e-05', 'epoch': '0.3789'}
{'loss': '7.444', 'grad_norm': '0.5504', 'learning_rate': '1.624e-05', 'epoch': '0.3822'}
{'loss': '7.438', 'grad_norm': '0.6038', 'learning_rate': '1.621e-05', 'epoch': '0.3854'}
{'loss': '7.602', 'grad_norm': '0.5604', 'learning_rate': '1.618e-05', 'epoch': '0.3886'}
{'loss': '7.481', 'grad_norm': '0.6686', 'learning_rate': '1.614e-05', 'epoch': '0.3919'}
{'loss': '7.65', 'grad_norm': '0.6632', 'learning_rate': '1.611e-05', 'epoch': '0.3951'}
{'loss': '7.528', 'grad_norm': '0.6643', 'learning_rate': '1.608e-05', 'epoch': '0.3984'}
{'loss': '7.536', 'grad_norm': '0.6', 'learning_rate': '1.605e-05', 'epoch': '0.4016'}
{'loss': '7.578', 'grad_norm': '0.6468', 'learning_rate': '1.601e-05', 'epoch': '0.4048'}
{'loss': '7.482', 'grad_norm': '0.5718', 'learning_rate': '1.598e-05', 'epoch': '0.4081'}
{'loss': '7.588', 'grad_norm': '0.5743', 'learning_rate': '1.595e-05', 'epoch': '0.4113'}
{'loss': '7.442', 'grad_norm': '0.6302', 'learning_rate': '1.592e-05', 'epoch': '0.4146'}
{'loss': '7.692', 'grad_norm': '0.5472', 'learning_rate': '1.588e-05', 'epoch': '0.4178'}
{'loss': '7.597', 'grad_norm': '0.5686', 'learning_rate': '1.585e-05', 'epoch': '0.421'}
{'loss': '7.499', 'grad_norm': '0.5691', 'learning_rate': '1.582e-05', 'epoch': '0.4243'}
{'loss': '7.696', 'grad_norm': '0.5973', 'learning_rate': '1.579e-05', 'epoch': '0.4275'}
{'loss': '7.546', 'grad_norm': '0.5262', 'learning_rate': '1.575e-05', 'epoch': '0.4308'}
{'loss': '7.604', 'grad_norm': '0.6183', 'learning_rate': '1.572e-05', 'epoch': '0.434'}
{'loss': '7.662', 'grad_norm': '0.5169', 'learning_rate': '1.569e-05', 'epoch': '0.4372'}
{'loss': '7.736', 'grad_norm': '0.5382', 'learning_rate': '1.566e-05', 'epoch': '0.4405'}
{'loss': '7.631', 'grad_norm': '0.5946', 'learning_rate': '1.563e-05', 'epoch': '0.4437'}
{'loss': '7.613', 'grad_norm': '0.5511', 'learning_rate': '1.559e-05', 'epoch': '0.4469'}
{'loss': '7.752', 'grad_norm': '0.532', 'learning_rate': '1.556e-05', 'epoch': '0.4502'}
{'loss': '7.694', 'grad_norm': '0.5117', 'learning_rate': '1.553e-05', 'epoch': '0.4534'}
{'loss': '7.686', 'grad_norm': '0.5724', 'learning_rate': '1.55e-05', 'epoch': '0.4567'}
{'loss': '7.592', 'grad_norm': '0.5803', 'learning_rate': '1.546e-05', 'epoch': '0.4599'}
{'loss': '7.634', 'grad_norm': '0.5011', 'learning_rate': '1.543e-05', 'epoch': '0.4631'}
{'loss': '7.587', 'grad_norm': '0.4546', 'learning_rate': '1.54e-05', 'epoch': '0.4664'}
{'loss': '7.74', 'grad_norm': '0.568', 'learning_rate': '1.537e-05', 'epoch': '0.4696'}
{'loss': '7.632', 'grad_norm': '0.4831', 'learning_rate': '1.533e-05', 'epoch': '0.4729'}
{'loss': '7.616', 'grad_norm': '0.4911', 'learning_rate': '1.53e-05', 'epoch': '0.4761'}
{'loss': '7.676', 'grad_norm': '0.6098', 'learning_rate': '1.527e-05', 'epoch': '0.4793'}
{'loss': '7.653', 'grad_norm': '0.4061', 'learning_rate': '1.524e-05', 'epoch': '0.4826'}
{'loss': '7.801', 'grad_norm': '0.5939', 'learning_rate': '1.52e-05', 'epoch': '0.4858'}
{'loss': '7.688', 'grad_norm': '0.5546', 'learning_rate': '1.517e-05', 'epoch': '0.489'}
{'loss': '7.621', 'grad_norm': '0.6398', 'learning_rate': '1.514e-05', 'epoch': '0.4923'}
{'loss': '7.646', 'grad_norm': '0.549', 'learning_rate': '1.511e-05', 'epoch': '0.4955'}
{'loss': '7.742', 'grad_norm': '0.5386', 'learning_rate': '1.507e-05', 'epoch': '0.4988'}
{'loss': '7.806', 'grad_norm': '0.4298', 'learning_rate': '1.504e-05', 'epoch': '0.502'}
{'loss': '7.709', 'grad_norm': '0.5179', 'learning_rate': '1.501e-05', 'epoch': '0.5052'}
{'loss': '7.723', 'grad_norm': '0.5482', 'learning_rate': '1.498e-05', 'epoch': '0.5085'}
{'loss': '7.588', 'grad_norm': '0.546', 'learning_rate': '1.494e-05', 'epoch': '0.5117'}
{'loss': '7.782', 'grad_norm': '0.4037', 'learning_rate': '1.491e-05', 'epoch': '0.515'}
{'loss': '7.762', 'grad_norm': '0.4954', 'learning_rate': '1.488e-05', 'epoch': '0.5182'}
{'loss': '7.838', 'grad_norm': '0.4633', 'learning_rate': '1.485e-05', 'epoch': '0.5214'}
{'loss': '7.664', 'grad_norm': '0.452', 'learning_rate': '1.482e-05', 'epoch': '0.5247'}
{'loss': '7.678', 'grad_norm': '0.3706', 'learning_rate': '1.478e-05', 'epoch': '0.5279'}
{'loss': '7.751', 'grad_norm': '0.3827', 'learning_rate': '1.475e-05', 'epoch': '0.5312'}
{'loss': '7.714', 'grad_norm': '0.2519', 'learning_rate': '1.472e-05', 'epoch': '0.5344'}
{'loss': '7.787', 'grad_norm': '0.4587', 'learning_rate': '1.469e-05', 'epoch': '0.5376'}
{'loss': '7.716', 'grad_norm': '0.4669', 'learning_rate': '1.465e-05', 'epoch': '0.5409'}
{'loss': '7.901', 'grad_norm': '0.4064', 'learning_rate': '1.462e-05', 'epoch': '0.5441'}
{'loss': '7.773', 'grad_norm': '0.562', 'learning_rate': '1.459e-05', 'epoch': '0.5473'}
{'loss': '7.69', 'grad_norm': '0.4437', 'learning_rate': '1.456e-05', 'epoch': '0.5506'}
{'loss': '7.656', 'grad_norm': '0.3968', 'learning_rate': '1.452e-05', 'epoch': '0.5538'}
{'loss': '7.693', 'grad_norm': '0.538', 'learning_rate': '1.449e-05', 'epoch': '0.5571'}
{'loss': '7.756', 'grad_norm': '0.4652', 'learning_rate': '1.446e-05', 'epoch': '0.5603'}
{'loss': '7.797', 'grad_norm': '0.477', 'learning_rate': '1.443e-05', 'epoch': '0.5635'}
{'loss': '7.745', 'grad_norm': '0.4445', 'learning_rate': '1.439e-05', 'epoch': '0.5668'}
{'loss': '7.737', 'grad_norm': '0.4973', 'learning_rate': '1.436e-05', 'epoch': '0.57'}
{'loss': '7.808', 'grad_norm': '0.3609', 'learning_rate': '1.433e-05', 'epoch': '0.5733'}
{'loss': '7.87', 'grad_norm': '0.3736', 'learning_rate': '1.43e-05', 'epoch': '0.5765'}
{'loss': '7.884', 'grad_norm': '0.599', 'learning_rate': '1.426e-05', 'epoch': '0.5797'}
{'loss': '7.801', 'grad_norm': '0.34', 'learning_rate': '1.423e-05', 'epoch': '0.583'}
{'loss': '7.802', 'grad_norm': '0.3886', 'learning_rate': '1.42e-05', 'epoch': '0.5862'}
{'loss': '7.858', 'grad_norm': '0.5142', 'learning_rate': '1.417e-05', 'epoch': '0.5894'}
{'loss': '7.922', 'grad_norm': '0.4996', 'learning_rate': '1.414e-05', 'epoch': '0.5927'}
{'loss': '7.757', 'grad_norm': '0.3638', 'learning_rate': '1.41e-05', 'epoch': '0.5959'}
{'loss': '7.649', 'grad_norm': '0.4226', 'learning_rate': '1.407e-05', 'epoch': '0.5992'}
{'loss': '7.904', 'grad_norm': '0.4764', 'learning_rate': '1.404e-05', 'epoch': '0.6024'}
{'loss': '7.773', 'grad_norm': '0.2706', 'learning_rate': '1.401e-05', 'epoch': '0.6056'}
{'loss': '7.847', 'grad_norm': '0.2957', 'learning_rate': '1.397e-05', 'epoch': '0.6089'}
{'loss': '7.849', 'grad_norm': '0.2822', 'learning_rate': '1.394e-05', 'epoch': '0.6121'}
{'loss': '7.718', 'grad_norm': '0.3754', 'learning_rate': '1.391e-05', 'epoch': '0.6154'}
{'loss': '7.838', 'grad_norm': '0.6044', 'learning_rate': '1.388e-05', 'epoch': '0.6186'}
{'loss': '7.815', 'grad_norm': '0.4401', 'learning_rate': '1.384e-05', 'epoch': '0.6218'}
{'loss': '7.89', 'grad_norm': '0.3973', 'learning_rate': '1.381e-05', 'epoch': '0.6251'}
{'loss': '7.834', 'grad_norm': '0.396', 'learning_rate': '1.378e-05', 'epoch': '0.6283'}
{'loss': '7.77', 'grad_norm': '0.5092', 'learning_rate': '1.375e-05', 'epoch': '0.6316'}
{'loss': '7.785', 'grad_norm': '0.5635', 'learning_rate': '1.371e-05', 'epoch': '0.6348'}
{'loss': '7.827', 'grad_norm': '0.3461', 'learning_rate': '1.368e-05', 'epoch': '0.638'}
{'loss': '7.872', 'grad_norm': '0.416', 'learning_rate': '1.365e-05', 'epoch': '0.6413'}
{'loss': '7.705', 'grad_norm': '0.4102', 'learning_rate': '1.362e-05', 'epoch': '0.6445'}
{'loss': '7.903', 'grad_norm': '0.4248', 'learning_rate': '1.358e-05', 'epoch': '0.6477'}
{'loss': '7.811', 'grad_norm': '0.2699', 'learning_rate': '1.355e-05', 'epoch': '0.651'}
{'loss': '7.83', 'grad_norm': '0.5073', 'learning_rate': '1.352e-05', 'epoch': '0.6542'}
{'loss': '7.747', 'grad_norm': '0.4772', 'learning_rate': '1.349e-05', 'epoch': '0.6575'}
{'loss': '7.86', 'grad_norm': '0.4019', 'learning_rate': '1.346e-05', 'epoch': '0.6607'}
{'loss': '7.947', 'grad_norm': '0.3371', 'learning_rate': '1.342e-05', 'epoch': '0.6639'}
{'loss': '7.809', 'grad_norm': '0.2786', 'learning_rate': '1.339e-05', 'epoch': '0.6672'}
{'loss': '7.985', 'grad_norm': '0.2173', 'learning_rate': '1.336e-05', 'epoch': '0.6704'}
{'loss': '7.857', 'grad_norm': '0.4063', 'learning_rate': '1.333e-05', 'epoch': '0.6737'}
{'loss': '7.903', 'grad_norm': '0.3427', 'learning_rate': '1.329e-05', 'epoch': '0.6769'}
{'loss': '7.966', 'grad_norm': '0.2914', 'learning_rate': '1.326e-05', 'epoch': '0.6801'}
{'loss': '7.904', 'grad_norm': '0.4432', 'learning_rate': '1.323e-05', 'epoch': '0.6834'}
{'loss': '7.86', 'grad_norm': '0.3049', 'learning_rate': '1.32e-05', 'epoch': '0.6866'}
{'loss': '7.729', 'grad_norm': '0.4557', 'learning_rate': '1.316e-05', 'epoch': '0.6899'}
{'loss': '7.938', 'grad_norm': '0.3911', 'learning_rate': '1.313e-05', 'epoch': '0.6931'}
{'loss': '7.899', 'grad_norm': '0.3787', 'learning_rate': '1.31e-05', 'epoch': '0.6963'}
{'loss': '7.861', 'grad_norm': '0.163', 'learning_rate': '1.307e-05', 'epoch': '0.6996'}
{'loss': '7.952', 'grad_norm': '0.4894', 'learning_rate': '1.303e-05', 'epoch': '0.7028'}
{'loss': '8.049', 'grad_norm': '0.3211', 'learning_rate': '1.3e-05', 'epoch': '0.706'}
{'loss': '7.888', 'grad_norm': '0.4518', 'learning_rate': '1.297e-05', 'epoch': '0.7093'}
{'loss': '7.977', 'grad_norm': '0.2933', 'learning_rate': '1.294e-05', 'epoch': '0.7125'}
{'loss': '7.886', 'grad_norm': '0.3035', 'learning_rate': '1.29e-05', 'epoch': '0.7158'}
{'loss': '7.852', 'grad_norm': '0.2958', 'learning_rate': '1.287e-05', 'epoch': '0.719'}
{'loss': '7.884', 'grad_norm': '0.2736', 'learning_rate': '1.284e-05', 'epoch': '0.7222'}
{'loss': '7.891', 'grad_norm': '0.3038', 'learning_rate': '1.281e-05', 'epoch': '0.7255'}
{'loss': '7.959', 'grad_norm': '0.3489', 'learning_rate': '1.278e-05', 'epoch': '0.7287'}
{'loss': '7.6', 'grad_norm': '0.3806', 'learning_rate': '1.274e-05', 'epoch': '0.732'}
{'loss': '7.786', 'grad_norm': '0.3361', 'learning_rate': '1.271e-05', 'epoch': '0.7352'}
{'loss': '7.955', 'grad_norm': '0.4677', 'learning_rate': '1.268e-05', 'epoch': '0.7384'}
{'loss': '7.986', 'grad_norm': '0.3105', 'learning_rate': '1.265e-05', 'epoch': '0.7417'}
{'loss': '7.978', 'grad_norm': '0.3885', 'learning_rate': '1.261e-05', 'epoch': '0.7449'}
{'loss': '7.919', 'grad_norm': '0.2809', 'learning_rate': '1.258e-05', 'epoch': '0.7481'}
{'loss': '7.891', 'grad_norm': '0.3124', 'learning_rate': '1.255e-05', 'epoch': '0.7514'}
{'loss': '7.844', 'grad_norm': '0.4354', 'learning_rate': '1.252e-05', 'epoch': '0.7546'}
{'loss': '7.991', 'grad_norm': '0.2485', 'learning_rate': '1.248e-05', 'epoch': '0.7579'}
{'loss': '7.91', 'grad_norm': '0.4074', 'learning_rate': '1.245e-05', 'epoch': '0.7611'}
{'loss': '7.905', 'grad_norm': '0.266', 'learning_rate': '1.242e-05', 'epoch': '0.7643'}
{'loss': '7.819', 'grad_norm': '0.5422', 'learning_rate': '1.239e-05', 'epoch': '0.7676'}
{'loss': '7.889', 'grad_norm': '0.4181', 'learning_rate': '1.235e-05', 'epoch': '0.7708'}
{'loss': '7.882', 'grad_norm': '0.2806', 'learning_rate': '1.232e-05', 'epoch': '0.7741'}
{'loss': '7.833', 'grad_norm': '0.387', 'learning_rate': '1.229e-05', 'epoch': '0.7773'}
{'loss': '8.021', 'grad_norm': '0.3192', 'learning_rate': '1.226e-05', 'epoch': '0.7805'}
{'loss': '8.015', 'grad_norm': '0.2667', 'learning_rate': '1.222e-05', 'epoch': '0.7838'}
{'loss': '8.022', 'grad_norm': '0.3295', 'learning_rate': '1.219e-05', 'epoch': '0.787'}
{'loss': '7.935', 'grad_norm': '0.1845', 'learning_rate': '1.216e-05', 'epoch': '0.7903'}
{'loss': '8.1', 'grad_norm': '0.3071', 'learning_rate': '1.213e-05', 'epoch': '0.7935'}
{'loss': '7.905', 'grad_norm': '0.2684', 'learning_rate': '1.21e-05', 'epoch': '0.7967'}
{'loss': '7.912', 'grad_norm': '0.424', 'learning_rate': '1.206e-05', 'epoch': '0.8'}
{'loss': '7.842', 'grad_norm': '0.3282', 'learning_rate': '1.203e-05', 'epoch': '0.8032'}
{'loss': '7.982', 'grad_norm': '0.2835', 'learning_rate': '1.2e-05', 'epoch': '0.8064'}
{'loss': '7.967', 'grad_norm': '0.2993', 'learning_rate': '1.197e-05', 'epoch': '0.8097'}
{'loss': '7.953', 'grad_norm': '0.3687', 'learning_rate': '1.193e-05', 'epoch': '0.8129'}
{'loss': '7.88', 'grad_norm': '0.2677', 'learning_rate': '1.19e-05', 'epoch': '0.8162'}
{'loss': '8.063', 'grad_norm': '0.2541', 'learning_rate': '1.187e-05', 'epoch': '0.8194'}
{'loss': '7.929', 'grad_norm': '0.2993', 'learning_rate': '1.184e-05', 'epoch': '0.8226'}
{'loss': '8.04', 'grad_norm': '0.3098', 'learning_rate': '1.18e-05', 'epoch': '0.8259'}
{'loss': '7.848', 'grad_norm': '0.4828', 'learning_rate': '1.177e-05', 'epoch': '0.8291'}
{'loss': '8.007', 'grad_norm': '0.3039', 'learning_rate': '1.174e-05', 'epoch': '0.8324'}
{'loss': '7.727', 'grad_norm': '0.4201', 'learning_rate': '1.171e-05', 'epoch': '0.8356'}
{'loss': '7.888', 'grad_norm': '0.3859', 'learning_rate': '1.167e-05', 'epoch': '0.8388'}
